name,image
Chest,https://static.thenounproject.com/png/torso-icon-3353648-512.png
Back,https://static.thenounproject.com/png/back-icon-7996254-512.png
Legs,https://static.thenounproject.com/png/leg-icon-6995150-512.png
Shoulders,https://static.thenounproject.com/png/shoulder-icon-5415081-512.png
Arms,https://static.thenounproject.com/png/muscular-arms-icon-7779092-512.png
Core,https://static.thenounproject.com/png/abs-icon-8024825-512.png
Cardio,https://static.thenounproject.com/png/running-icon-7621920-512.png
Full Body,https://static.thenounproject.com/png/deadlift-icon-7914939-512.png
